時間,新竹,臺北,大武,淡水,澎湖,蘇澳,金門,高雄,臺東,嘉義,宜蘭,彭佳嶼,花蓮,鞍部,臺南,竹子湖,玉山,成功,梧棲,阿里山,日月潭,臺中,馬祖,東吉島,恆春,基隆,蘭嶼,板橋
2012-05,6,6,1,18,7,18,6,15,1,15,6,22,18,6,6,6,24,18,6,14,25,6,6,5,18,7,9,6
2012-06,13,28,24,28,30,13,4,30,24,24,30,7,28,26,30,26,27,28,24,28,28,24,21,29,28,29,29,13
2012-07,29,13,15,25,23,4,30,23,15,12,14,9,25,5,23,10,3,19,10,2,4,13,5,23,27,13,27,13
2012-08,8,14,2,19,27,7,1,23,2,26,7,12,8,11,27,19,4,2,27,23,25,26,27,24,21,8,25,14
2012-09,17,30,26,18,18,30,28,17,26,17,17,30,30,18,17,18,26,28,30,18,27,30,16,29,15,2,30,17
2012-10,5,22,4,21,12,18,16,22,21,18,18,2,14,20,19,20,21,16,12,19,25,18,18,4,13,20,20,20
2012-11,10,10,26,14,10,11,5,13,8,14,11,14,14,4,11,14,19,7,10,19,3,3,1,10,28,10,8,14
2012-12,20,14,20,24,31,31,31,28,19,20,15,6,6,21,14,31,19,19,14,19,21,20,31,30,16,6,11,14
2013-01,30,31,15,15,14,16,27,16,15,30,16,27,15,21,30,31,31,15,27,30,16,31,18,30,31,31,15,31
2013-02,1,26,6,1,1,1,23,1,6,1,1,1,1,1,1,1,7,6,1,14,1,17,1,1,6,1,24,26
2013-03,5,7,24,5,8,5,4,7,18,6,8,8,5,8,7,7,11,5,8,8,7,7,8,8,7,8,9,7
2013-04,26,15,26,15,26,26,7,25,26,23,26,12,26,26,23,26,15,26,26,16,16,7,7,26,26,2,26,26
2013-05,2,30,10,2,2,2,1,28,2,31,2,1,2,3,27,3,26,2,2,26,30,30,1,1,2,1,3,28
2013-06,24,8,8,6,17,30,21,22,28,23,19,8,24,29,6,29,28,28,24,29,28,19,17,21,20,8,19,8
2013-07,17,30,12,17,1,17,12,1,13,8,7,27,12,30,19,30,16,13,31,12,8,8,31,31,10,17,12,30
2013-08,8,8,21,1,17,6,28,13,19,9,1,18,12,1,10,1,6,29,9,10,1,13,10,10,26,5,19,5
2013-09,9,24,17,25,4,3,20,3,17,6,3,4,17,2,3,2,17,17,18,19,20,3,3,4,17,2,17,24
2013-10,30,16,8,29,24,22,25,23,3,28,16,22,22,29,28,16,27,3,2,3,28,28,25,2,3,26,6,16
2013-11,17,30,30,30,18,17,29,21,30,20,17,17,18,17,18,30,30,30,17,18,1,17,29,17,30,19,30,30
2013-12,3,3,5,3,3,3,31,6,5,2,9,4,28,3,5,3,6,5,5,3,4,2,31,5,4,3,5,4
2014-01,25,25,23,25,21,25,1,25,23,25,25,5,24,30,25,30,31,23,25,31,23,24,22,18,25,25,24,25
2014-02,23,1,21,23,2,20,21,20,21,21,20,21,21,1,1,1,1,21,2,1,1,22,20,20,22,17,21,1
2014-03,23,30,29,30,14,15,21,14,29,25,15,15,22,16,16,30,25,22,25,20,20,14,26,16,24,15,22,15
2014-04,5,5,4,10,29,4,15,29,15,16,17,5,15,5,29,11,10,4,16,17,10,29,5,4,19,5,3,5
2014-05,14,14,14,3,3,4,5,24,14,11,26,5,21,8,24,3,23,21,11,23,23,11,28,10,8,14,10,14
2014-06,13,13,2,13,12,13,12,1,17,1,13,13,13,27,1,29,27,23,28,27,2,12,11,1,1,26,30,13
2014-07,21,21,11,21,21,8,22,30,9,17,30,20,21,24,9,27,6,7,17,7,7,17,31,18,30,9,31,21
2014-08,23,29,20,29,23,23,29,23,20,19,2,24,15,23,23,29,22,2,23,28,28,23,24,27,25,22,15,22
2014-09,19,5,22,30,9,21,19,15,30,1,21,3,29,30,26,30,27,19,15,18,15,15,23,10,4,21,24,21
2014-10,16,16,8,16,16,12,12,18,16,17,12,16,7,21,16,21,7,7,21,15,20,21,12,21,17,16,6,21
2014-11,22,24,23,7,7,5,18,6,24,6,5,3,8,6,26,6,7,8,7,30,22,22,3,6,25,24,5,24
2014-12,29,29,7,29,29,29,17,17,31,31,29,29,6,31,31,31,23,18,17,30,7,31,29,29,31,29,30,29
2015-01,24,23,24,24,22,22,22,22,24,22,22,22,22,24,22,24,17,9,23,18,23,23,19,23,2,24,1,23
2015-02,13,12,13,13,12,12,12,14,13,13,12,12,12,13,12,12,2,13,13,13,13,14,12,13,13,12,2,12
2015-03,29,18,27,29,29,28,22,27,14,19,3,22,14,18,29,19,20,13,19,20,19,19,13,29,14,19,21,29
2015-04,14,15,20,15,14,14,14,14,20,14,14,14,14,14,14,15,15,23,14,16,15,14,14,14,14,14,15,15
2015-05,18,12,20,12,13,12,12,21,30,18,13,12,4,12,17,13,18,11,18,17,18,18,13,13,17,18,9,12
2015-06,18,5,17,9,17,22,21,22,11,27,11,25,18,9,8,18,15,27,18,17,9,27,15,21,20,9,22,8
2015-07,21,28,23,8,18,31,10,17,4,21,11,31,26,16,21,28,4,2,21,24,24,21,31,29,4,28,14,28
2015-08,2,20,15,20,5,2,7,3,8,4,3,4,6,16,4,19,3,7,4,10,21,4,25,4,21,3,17,11
2015-09,10,19,13,12,10,19,27,18,28,18,13,12,27,20,11,20,12,28,19,12,18,18,13,10,12,6,12,19
2015-10,12,13,17,12,11,15,17,13,17,30,14,11,17,27,30,27,17,17,12,15,30,17,11,12,15,13,14,13
2015-11,28,17,28,27,26,29,26,27,28,26,29,26,28,29,27,29,25,28,26,28,29,26,27,26,29,29,27,16
2015-12,4,17,19,22,17,17,17,21,18,17,10,17,17,21,18,22,29,18,17,19,20,19,17,4,18,18,20,17
